year,movies_count,vulgarities,asshole,bastard,bitch,cunt,dick,faggot,fuck,nigger,shit,slut,vulgarities_rel,asshole_rel,bastard_rel,bitch_rel,cunt_rel,dick_rel,faggot_rel,fuck_rel,nigger_rel,shit_rel,slut_rel
1933-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1937-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1942-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1946-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-01-01,3,1,0,0,0,0,1,0,0,0,0,0,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0
1951-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965-01-01,3,1,0,0,1,0,0,0,0,0,0,0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966-01-01,2,13,0,8,5,0,0,0,0,0,0,0,6.5,0.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969-01-01,5,5,0,3,2,0,0,0,0,0,0,0,1.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01,6,26,0,8,15,0,1,0,1,0,1,0,4.333,0.0,1.333,2.5,0.0,0.167,0.0,0.167,0.0,0.167,0.0
1971-01-01,4,23,0,4,4,0,1,0,5,1,8,0,5.75,0.0,1.0,1.0,0.0,0.25,0.0,1.25,0.25,2.0,0.0
1972-01-01,5,30,2,3,0,1,1,0,18,0,5,0,6.0,0.4,0.6,0.0,0.2,0.2,0.0,3.6,0.0,1.0,0.0
1973-01-01,7,72,1,1,3,0,1,1,46,0,19,0,10.286,0.143,0.143,0.429,0.0,0.143,0.143,6.571,0.0,2.714,0.0
1974-01-01,16,46,2,4,11,0,0,0,5,10,14,0,2.875,0.125,0.25,0.688,0.0,0.0,0.0,0.312,0.625,0.875,0.0
1975-01-01,8,67,4,4,7,2,0,1,38,0,11,0,8.375,0.5,0.5,0.875,0.25,0.0,0.125,4.75,0.0,1.375,0.0
1976-01-01,8,20,0,2,2,0,2,0,7,1,6,0,2.5,0.0,0.25,0.25,0.0,0.25,0.0,0.875,0.125,0.75,0.0
1977-01-01,8,10,0,0,3,0,0,0,0,0,7,0,1.25,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.875,0.0
1978-01-01,14,118,2,3,2,0,2,0,58,0,51,0,8.429,0.143,0.214,0.143,0.0,0.143,0.0,4.143,0.0,3.643,0.0
1979-01-01,16,116,4,0,9,1,0,0,58,5,39,0,7.25,0.25,0.0,0.562,0.062,0.0,0.0,3.625,0.312,2.438,0.0
1980-01-01,13,73,1,1,6,0,10,1,27,1,26,0,5.615,0.077,0.077,0.462,0.0,0.769,0.077,2.077,0.077,2.0,0.0
1981-01-01,12,21,0,0,7,0,1,0,1,0,11,1,1.75,0.0,0.0,0.583,0.0,0.083,0.0,0.083,0.0,0.917,0.083
1982-01-01,13,138,3,0,14,0,6,1,65,5,44,0,10.615,0.231,0.0,1.077,0.0,0.462,0.077,5.0,0.385,3.385,0.0
1983-01-01,16,47,1,0,4,0,0,0,24,1,17,0,2.938,0.062,0.0,0.25,0.0,0.0,0.0,1.5,0.062,1.062,0.0
1984-01-01,12,106,5,5,10,0,8,1,37,0,40,0,8.833,0.417,0.417,0.833,0.0,0.667,0.083,3.083,0.0,3.333,0.0
1985-01-01,11,26,2,1,1,0,3,0,9,0,10,0,2.364,0.182,0.091,0.091,0.0,0.273,0.0,0.818,0.0,0.909,0.0
1986-01-01,9,206,7,3,11,0,2,0,117,1,65,0,22.889,0.778,0.333,1.222,0.0,0.222,0.0,13.0,0.111,7.222,0.0
1987-01-01,10,140,3,3,13,0,8,0,63,0,50,0,14.0,0.3,0.3,1.3,0.0,0.8,0.0,6.3,0.0,5.0,0.0
1988-01-01,13,122,4,6,7,0,9,0,68,0,27,1,9.385,0.308,0.462,0.538,0.0,0.692,0.0,5.231,0.0,2.077,0.077
1989-01-01,18,134,4,4,22,0,4,0,55,4,41,0,7.444,0.222,0.222,1.222,0.0,0.222,0.0,3.056,0.222,2.278,0.0
1990-01-01,19,145,4,6,20,0,22,0,73,0,20,0,7.632,0.211,0.316,1.053,0.0,1.158,0.0,3.842,0.0,1.053,0.0
1991-01-01,14,104,1,4,14,0,2,1,52,1,29,0,7.429,0.071,0.286,1.0,0.0,0.143,0.071,3.714,0.071,2.071,0.0
1992-01-01,21,243,5,9,22,1,6,0,149,2,49,0,11.571,0.238,0.429,1.048,0.048,0.286,0.0,7.095,0.095,2.333,0.0
1993-01-01,20,149,5,7,14,0,2,3,76,0,40,2,7.45,0.25,0.35,0.7,0.0,0.1,0.15,3.8,0.0,2.0,0.1
1994-01-01,18,268,6,6,30,0,5,0,116,13,92,0,14.889,0.333,0.333,1.667,0.0,0.278,0.0,6.444,0.722,5.111,0.0
1995-01-01,22,143,3,4,7,0,8,0,93,0,28,0,6.5,0.136,0.182,0.318,0.0,0.364,0.0,4.227,0.0,1.273,0.0
