title,year,rating,vulgarities,sentiment,subjectivity,asshole,bastard,bitch,cunt,dick,faggot,fuck,nigger,shit,slut
King Kong,1933-01-01,N/A,0,0.11731515263087401,0.489423217818836,0,0,0,0,0,0,0,0,0,0
King Kong,1933-01-01,N/A,0,0.11731515263087401,0.489423217818836,0,0,0,0,0,0,0,0,0,0
Snow White and the Seven Dwarfs,1937-01-01,N/A,0,0.07586133898941701,0.570463320204699,0,0,0,0,0,0,0,0,0,0
Gone with the Wind,1939-01-01,96,0,0.085451989651166,0.5676329195540011,0,0,0,0,0,0,0,0,0,0
Pinocchio,1940-01-01,100,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Cleopatra,1940-01-01,100,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Fantasia,1940-01-01,96,0,0.17024889102666801,0.545170808615253,0,0,0,0,0,0,0,0,0,0
Bambi,1942-01-01,91,0,0.21079457132905402,0.603390953873712,0,0,0,0,0,0,0,0,0,0
Duel in the Sun,1946-01-01,N/A,0,0.096758550576407,0.5484588153909581,0,0,0,0,0,0,0,0,0,0
Father of the Bride,1950-01-01,93,1,0.10394244717754601,0.553325912865647,0,0,0,0,1,0,0,0,0,0
G-Force,1950-01-01,89,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Broken Arrow,1950-01-01,89,0,0.05844041862392901,0.461682447576064,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland,1951-01-01,79,0,0.046430793982518,0.5285430163706031,0,0,0,0,0,0,0,0,0,0
Rear Window,1954-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Caine Mutiny,1954-01-01,N/A,0,0.087193362193362,0.5402484854367691,0,0,0,0,0,0,0,0,0,0
Godzilla,1954-01-01,N/A,0,0.024380320368692,0.5414521879928851,0,0,0,0,0,0,0,0,0,0
Godzilla,1954-01-01,N/A,0,0.024380320368692,0.5414521879928851,0,0,0,0,0,0,0,0,0,0
The Ten Commandments,1956-01-01,91,0,0.14358352425200901,0.5277804759284971,0,0,0,0,0,0,0,0,0,0
The Bridge on the River Kwai,1957-01-01,96,0,0.10900066729782901,0.5190095755663361,0,0,0,0,0,0,0,0,0,0
Sleeping Beauty,1959-01-01,92,0,0.22377057103202103,0.596089617549541,0,0,0,0,0,0,0,0,0,0
Swiss Family Robinson,1960-01-01,80,0,0.09714862787614101,0.517877407229258,0,0,0,0,0,0,0,0,0,0
West Side Story,1961-01-01,N/A,0,0.120314223504522,0.575523623971384,0,0,0,0,0,0,0,0,0,0
Gone in 60 Seconds,1962-01-01,98,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Cape Fear,1962-01-01,98,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Dr. No,1962-01-01,98,0,0.084740894872917,0.510043677296486,0,0,0,0,0,0,0,0,0,0
Lawrence of Arabia,1962-01-01,98,0,0.09168493292134601,0.49339573922454305,0,0,0,0,0,0,0,0,0,0
The Nutty Professor,1963-01-01,86,0,0.117249172820078,0.55021324658475,0,0,0,0,0,0,0,0,0,0
From Russia with Love,1963-01-01,96,0,0.084641198854908,0.47774861712361705,0,0,0,0,0,0,0,0,0,0
Goldfinger,1964-01-01,96,0,0.130439915655079,0.5116668387774941,0,0,0,0,0,0,0,0,0,0
The Greatest Show on Earth,1964-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
National Lampoon's Animal House,1964-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Mary Poppins,1964-01-01,100,0,0.16743362258479502,0.576880349393886,0,0,0,0,0,0,0,0,0,0
My Fair Lady,1964-01-01,N/A,0,0.092831574555712,0.508190940106349,0,0,0,0,0,0,0,0,0,0
Doctor Zhivago,1965-01-01,83,1,0.091588170733836,0.49240368838151105,0,0,1,0,0,0,0,0,0,0
Thunderball,1965-01-01,85,0,0.070547086566052,0.50179936615109,0,0,0,0,0,0,0,0,0,0
The Sound of Music,1965-01-01,84,0,0.14153450642304102,0.561303090045127,0,0,0,0,0,0,0,0,0,0
"The Good, the Bad and the Ugly",1966-01-01,97,6,0.062567314437591,0.5287696644245761,0,4,2,0,0,0,0,0,0,0
Who's Afraid of Virginia Woolf?,1966-01-01,95,7,0.07381218525310701,0.537212948754734,0,4,3,0,0,0,0,0,0,0
The Way We Were,1967-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
You Only Live Twice,1967-01-01,71,0,0.053366517547189005,0.45906193557454006,0,0,0,0,0,0,0,0,0,0
Casino Royale,1967-01-01,N/A,0,0.12672794238728302,0.53091982079276,0,0,0,0,0,0,0,0,0,0
Doctor Dolittle,1967-01-01,N/A,0,0.14010826458525202,0.5547463275915151,0,0,0,0,0,0,0,0,0,0
The Graduate,1967-01-01,89,0,0.09023411705521801,0.554829805260997,0,0,0,0,0,0,0,0,0,0
The Odd Couple,1968-01-01,100,0,0.076093887438425,0.5553482248710331,0,0,0,0,0,0,0,0,0,0
Funny Girl,1968-01-01,N/A,0,0.141857672422969,0.5695273435418531,0,0,0,0,0,0,0,0,0,0
Planet of the Apes,1968-01-01,90,0,0.111390763178472,0.5004993167912161,0,0,0,0,0,0,0,0,0,0
2001: A Space Odyssey,1968-01-01,97,0,0.16622786121389402,0.541601268067748,0,0,0,0,0,0,0,0,0,0
Planet of the Apes,1968-01-01,90,0,0.111390763178472,0.5004993167912161,0,0,0,0,0,0,0,0,0,0
The Love Bug,1968-01-01,75,0,0.133018757932161,0.514041039699924,0,0,0,0,0,0,0,0,0,0
Butch Cassidy and the Sundance Kid,1969-01-01,N/A,3,0.088283697681204,0.485131429051096,0,2,1,0,0,0,0,0,0,0
True Grit,1969-01-01,N/A,2,0.026020036022091002,0.520455683296966,0,1,1,0,0,0,0,0,0,0
Midnight Cowboy,1969-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Italian Job,1969-01-01,N/A,0,0.066151419229453,0.47349976853589504,0,0,0,0,0,0,0,0,0,0
On Her Majesty's Secret Service,1969-01-01,81,0,0.13725892583847102,0.506048225764135,0,0,0,0,0,0,0,0,0,0
Airport,1970-01-01,N/A,0,0.060738133297055005,0.473345889364407,0,0,0,0,0,0,0,0,0,0
MASH,1970-01-01,87,5,0.122556413698818,0.49509273532374704,0,0,4,0,0,0,1,0,0,0
Little Big Man,1970-01-01,N/A,1,0.06590244166551,0.476751774551099,0,1,0,0,0,0,0,0,0,0
Fatal Attraction,1970-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Love Story,1970-01-01,N/A,5,0.07718737165612101,0.530523882945757,0,1,4,0,0,0,0,0,0,0
Patton,1970-01-01,N/A,15,0.087643448010794,0.45901004551004504,0,6,7,0,1,0,0,0,1,0
Diamonds Are Forever,1971-01-01,65,0,0.065072565523621,0.511536962717385,0,0,0,0,0,0,0,0,0,0
The French Connection,1971-01-01,98,13,0.123233079090221,0.495594069951212,0,0,1,0,1,0,4,1,6,0
Dirty Harry,1971-01-01,95,6,0.076554207926049,0.48681066426553704,0,1,3,0,0,0,1,0,1,0
A Clockwork Orange,1971-01-01,N/A,4,0.0486583438798,0.49650838990405805,0,3,0,0,0,0,0,0,1,0
The Lorax,1972-01-01,N/A,0,0.097143145743145,0.48226046176046106,0,0,0,0,0,0,0,0,0,0
Last Tango in Paris,1972-01-01,N/A,27,0.077101523711693,0.48078502267767703,2,1,0,1,0,0,18,0,5,0
The Godfather,1972-01-01,100,3,0.10315081406114,0.528898768803659,0,2,0,0,1,0,0,0,0,0
"What's Up, Doc?",1972-01-01,N/A,0,0.057077043655057,0.523448074777861,0,0,0,0,0,0,0,0,0,0
9 to 5,1972-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Serpico,1973-01-01,90,52,0.055382768316825,0.5433937199880441,1,1,2,0,0,0,36,0,12,0
The Exorcist,1973-01-01,87,13,0.05785012472907201,0.516239414970994,0,0,1,0,0,1,10,0,1,0
Raiders of the Lost Ark,1973-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Live and Let Die,1973-01-01,65,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Sting,1973-01-01,N/A,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
